STN---,WBAN,YEARMODA,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,weather_alert
8415,99999,20200313,82.7,73.2,1010.9,,,14.5,17.1,21.0,83.3,82.2,0.0,,0,0
8415,99999,20200314,83.1,72.4,1008.7,,,11.0,14.0,17.1,83.7,82.4,0.0,,0,0
10010,99999,20200101,31.5,29.3,974.9,973.8,3.7,9.9,15.9,24.1,35.8,23.5,0.37,,10000,1
10010,99999,20200102,26.0,23.4,960.1,959.0,4.9,23.0,37.3,49.1,34.2,19.0,0.54,,101000,1
10010,99999,20200103,25.1,18.9,985.5,984.3,,33.4,50.5,65.9,33.6,19.6,0.31,,10000,1
10010,99999,20200104,24.1,16.1,1007.2,1006.0,8.2,13.3,25.6,31.3,31.3,19.2,0.06,,1000,1
10010,99999,20200105,34.4,32.5,981.8,980.6,4.2,12.9,25.6,34.0,37.4,26.4,0.02,,10000,1
10010,99999,20200106,35.7,33.2,973.8,972.7,8.4,13.4,28.9,39.2,38.3,33.4,0.09,,100000,1
10010,99999,20200107,32.9,30.4,951.5,950.4,2.9,15.8,28.0,35.5,37.9,28.9,0.29,,110000,1
10010,99999,20200108,31.7,29.2,948.1,947.0,2.6,22.0,32.8,57.3,32.9,28.0,0.0,,10000,1
10010,99999,20200109,29.1,22.0,980.4,979.2,14.2,13.0,35.2,52.6,32.7,25.5,0.12,,11000,1
10010,99999,20200110,28.4,20.0,991.0,989.8,16.2,10.0,13.8,29.7,32.7,24.8,0.14,,0,1
10010,99999,20200111,31.5,26.8,975.2,974.0,6.2,28.4,49.1,62.5,34.2,25.7,0.0,,10000,1
10010,99999,20200112,32.6,30.5,969.5,968.4,2.1,29.0,46.6,59.1,35.6,29.7,0.56,0.4,11000,1
10010,99999,20200113,28.6,26.1,983.7,982.5,3.7,30.9,42.7,58.5,31.3,27.5,0.22,,1000,1
10010,99999,20200114,32.3,29.0,981.2,980.0,3.6,28.1,35.0,40.0,33.8,27.9,0.06,,110000,1
10010,99999,20200115,31.1,30.0,985.0,983.9,,33.0,40.8,48.2,31.6,30.2,0.0,,0,1
10010,99999,20200116,32.7,28.1,1001.2,1000.0,7.7,20.9,27.2,34.4,33.8,30.4,0.13,,1000,1
10010,99999,20200117,33.8,27.9,1006.5,1005.3,7.1,22.8,27.2,31.7,34.9,32.5,0.0,,10000,1
10010,99999,20200118,33.6,30.2,1001.0,,5.2,16.4,28.6,41.2,35.6,27.1,0.0,,110000,1
10010,99999,20200119,33.6,28.3,997.0,995.8,5.7,17.7,31.1,37.9,40.1,26.8,0.12,,10000,1
10010,99999,20200120,30.6,25.2,985.0,983.8,6.4,21.7,35.0,40.6,40.1,25.3,0.13,,11000,1
10010,99999,20200121,27.6,23.7,1002.7,1001.5,2.3,17.6,31.1,45.5,32.4,21.7,0.0,,1000,1
10010,99999,20200122,30.7,26.1,1006.8,1005.6,8.5,15.0,29.1,,37.6,25.7,0.13,,100000,1
10010,99999,20200123,30.7,24.1,976.1,974.9,11.1,17.9,27.2,32.6,35.4,26.6,0.32,,1000,1
10010,99999,20200124,27.0,21.1,985.2,984.0,,15.7,27.0,30.3,28.8,25.7,0.0,,1000,1
10010,99999,20200125,30.7,25.2,996.5,995.3,8.1,12.2,19.4,20.6,33.1,26.1,0.06,,11000,1
10010,99999,20200126,33.9,28.1,998.0,996.8,7.5,30.7,36.3,49.0,35.1,29.3,0.01,,10000,1
10010,99999,20200127,34.0,33.1,990.7,989.5,1.6,20.9,37.3,53.6,36.0,31.5,0.0,,110000,1
10010,99999,20200128,33.2,30.6,992.7,991.5,3.2,11.2,24.9,27.8,35.8,28.9,0.12,,110000,1
10010,99999,20200129,34.5,29.8,992.8,991.6,7.8,5.8,19.4,,35.6,33.6,0.01,,1000,1
10010,99999,20200130,34.0,30.1,989.1,987.9,8.3,11.4,21.4,29.7,35.8,32.2,0.0,,11000,1
10010,99999,20200131,32.0,29.9,984.7,983.5,2.2,19.3,31.1,39.0,35.8,29.5,0.03,,101000,1
10010,99999,20200201,25.0,20.7,989.2,988.0,7.8,22.3,31.1,42.2,28.8,23.0,0.02,,1000,1
