STN---,WBAN,YEARMODA,TEMP,Unnamed: 4,DEWP,Unnamed: 6,SLP,Unnamed: 8,STP,Unnamed: 10,VISIB,Unnamed: 12,WDSP,Unnamed: 14,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
8415,99999,20200313,82.7,6,73.2,6,1010.9,6,9999.9,0,999.9,0,14.5,6,17.1,21.0,83.3*,82.2*,0.00I,999.9,0
8415,99999,20200314,83.1,8,72.4,8,1008.7,8,9999.9,0,999.9,0,11.0,8,14.0,17.1,83.7*,82.4*,0.00I,999.9,0
10010,99999,20200101,31.5,24,29.3,24,974.9,24,973.8,24,3.7,6,9.9,24,15.9,24.1,35.8,23.5*,0.37G,999.9,10000
10010,99999,20200102,26.0,24,23.4,24,960.1,24,959.0,24,4.9,6,23.0,24,37.3,49.1,34.2*,19.0,0.54E,999.9,101000
10010,99999,20200103,25.1,21,18.9,21,985.5,21,984.3,21,999.9,0,33.4,21,50.5,65.9,33.6*,19.6*,0.31E,999.9,10000
10010,99999,20200104,24.1,23,16.1,23,1007.2,23,1006.0,23,8.2,5,13.3,23,25.6,31.3,31.3*,19.2,0.06G,999.9,1000
10010,99999,20200105,34.4,24,32.5,24,981.8,24,980.6,24,4.2,6,12.9,24,25.6,34.0,37.4,26.4,0.02G,999.9,10000
10010,99999,20200106,35.7,22,33.2,22,973.8,22,972.7,22,8.4,4,13.4,21,28.9,39.2,38.3*,33.4,0.09G,999.9,100000
10010,99999,20200107,32.9,24,30.4,24,951.5,24,950.4,24,2.9,6,15.8,24,28.0,35.5,37.9,28.9*,0.29G,999.9,110000
10010,99999,20200108,31.7,24,29.2,24,948.1,24,947.0,24,2.6,6,22.0,24,32.8,57.3,32.9,28.0*,0.00G,999.9,10000
10010,99999,20200109,29.1,24,22.0,24,980.4,24,979.2,24,14.2,6,13.0,23,35.2,52.6,32.7,25.5,0.12G,999.9,11000
10010,99999,20200110,28.4,23,20.0,23,991.0,23,989.8,23,16.2,5,10.0,23,13.8,29.7,32.7,24.8,0.14G,999.9,0
10010,99999,20200111,31.5,19,26.8,19,975.2,19,974.0,19,6.2,4,28.4,19,49.1,62.5,34.2*,25.7,0.00G,999.9,10000
10010,99999,20200112,32.6,23,30.5,23,969.5,23,968.4,23,2.1,5,29.0,23,46.6,59.1,35.6*,29.7,0.56G,0.4,11000
10010,99999,20200113,28.6,19,26.1,19,983.7,19,982.5,19,3.7,4,30.9,19,42.7,58.5,31.3*,27.5*,0.22G,999.9,1000
10010,99999,20200114,32.3,24,29.0,24,981.2,24,980.0,24,3.6,6,28.1,24,35.0,40.0,33.8,27.9,0.06G,999.9,110000
10010,99999,20200115,31.1,21,30.0,21,985.0,21,983.9,21,999.9,0,33.0,21,40.8,48.2,31.6*,30.2*,0.00G,999.9,0
